Time,Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
1/18/2022 9:46:13 PM,"1656","15.0","52","990"
1/18/2022 9:47:13 PM,"1656","15.0","52","990"
1/18/2022 9:48:13 PM,"1656","15.0","52","990"
1/18/2022 9:49:13 PM,"1010","17.9","40","990"
1/18/2022 9:50:13 PM,"956","18.3","39","990"
1/18/2022 9:51:13 PM,"879","18.4","38","990"
1/18/2022 9:52:13 PM,"814","18.6","38","990"
1/18/2022 9:53:13 PM,"779","18.9","39","990"
1/18/2022 9:54:13 PM,"780","19.2","37","990"
1/18/2022 9:55:13 PM,"768","19.4","36","990"
1/18/2022 9:56:13 PM,"771","19.5","36","990"
1/18/2022 9:57:13 PM,"770","19.5","35","990"
1/18/2022 9:58:13 PM,"769","19.5","35","990"
1/18/2022 9:59:13 PM,"775","19.5","34","990"
1/18/2022 10:00:13 PM,"759","19.4","35","990"
1/18/2022 10:01:13 PM,"791","19.3","35","990"
1/18/2022 10:02:13 PM,"804","19.3","35","990"
1/18/2022 10:03:13 PM,"801","19.2","35","990"
1/18/2022 10:04:13 PM,"806","19.1","35","990"
1/18/2022 10:05:13 PM,"797","19.1","34","990"
1/18/2022 10:06:13 PM,"836","18.9","34","990"
1/18/2022 10:07:13 PM,"810","18.9","35","990"
1/18/2022 10:08:13 PM,"854","18.9","34","990"
1/18/2022 10:09:13 PM,"831","18.8","35","990"
1/18/2022 10:10:13 PM,"835","18.8","35","990"
1/18/2022 10:11:13 PM,"838","18.8","35","990"
1/18/2022 10:12:13 PM,"829","18.7","35","990"
1/18/2022 10:13:13 PM,"847","18.7","35","990"
1/18/2022 10:14:13 PM,"829","18.7","34","990"
1/18/2022 10:15:13 PM,"814","18.7","35","990"
1/18/2022 10:16:13 PM,"839","18.7","35","990"
1/18/2022 10:17:13 PM,"853","18.7","34","990"
1/18/2022 10:18:13 PM,"844","18.6","34","990"
1/18/2022 10:20:13 PM,"841","18.6","34","990"
1/18/2022 10:22:13 PM,"845","18.6","34","990"
1/18/2022 10:24:13 PM,"839","18.5","34","990"
1/18/2022 10:26:13 PM,"853","18.6","34","990"
1/18/2022 10:28:13 PM,"862","18.5","34","990"
1/18/2022 10:30:13 PM,"853","18.4","34","990"
1/18/2022 10:32:13 PM,"859","18.4","34","990"
1/18/2022 10:34:13 PM,"831","18.4","34","990"
1/18/2022 10:36:13 PM,"826","18.4","34","990"
1/18/2022 10:38:13 PM,"808","18.4","33","990"
1/18/2022 10:40:13 PM,"807","18.4","33","990"
1/18/2022 10:42:13 PM,"790","18.4","33","990"
1/18/2022 10:44:13 PM,"824","18.3","33","990"
1/18/2022 10:46:13 PM,"823","18.3","33","990"
1/18/2022 10:48:13 PM,"818","18.3","33","990"
1/18/2022 10:50:13 PM,"817","18.2","33","990"
1/18/2022 10:52:13 PM,"817","18.2","33","989"
